reaction_id	reaction_id_type	components	Reaction	mel_type	bridge_position
m_273232ibbpc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbxb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbfb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbfc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbfd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbga	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbgb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbgc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbgd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbfa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbha	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbhc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbhd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbia	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbib	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbic	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbid	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbja	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbhb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbed	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbec	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
